id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 4 giờ để khắc phục (resolution); phản hồi ban đầu là 15 phút [1].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,The answer matches the retrieved context exactly: P1 initial response is 15 minutes and resolution is 4 hours.,5,"The answer directly states the SLA for P1 tickets, including both resolution time and initial response time.",5,Retrieved: 1/1 expected sources,5,Câu trả lời nêu đúng cả hai ý chính: phản hồi ban đầu 15 phút và thời gian xử lý/resolution 4 giờ.,variant_dense_rerank
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng **7 ngày** kể từ thời điểm xác nhận đơn hàng [1][2].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,The answer is directly supported by the context: it states that refund requests can be made within 7 days from order confirmation.,5,Trả lời trực tiếp câu hỏi về số ngày khách hàng có thể yêu cầu hoàn tiền và nêu rõ là 7 ngày.,5,Retrieved: 1/1 expected sources,4,"Đáp án nêu đúng mốc 7 ngày và thời điểm xác nhận đơn hàng, nhưng thiếu chi tiết quan trọng là 'ngày làm việc'.",variant_dense_rerank
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,Level 3 cần phê duyệt của **Line Manager + IT Admin + IT Security** [1].,"Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,The answer exactly matches the retrieved context for Level 3 approval: Line Manager + IT Admin + IT Security.,5,"The answer directly states who must approve Level 3 access, which fully addresses the question.",5,Retrieved: 1/1 expected sources,5,"The answer includes all required approvers for Level 3: Line Manager, IT Admin, and IT Security.",variant_dense_rerank
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Không. Sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",5,The answer directly matches the context: digital products such as license key and subscription are listed as non-refundable exceptions.,5,"Trả lời trực tiếp câu hỏi về việc sản phẩm kỹ thuật số có được hoàn tiền không, và nêu rõ là không.",5,Retrieved: 1/1 expected sources,5,"Đáp án nêu đúng rằng sản phẩm kỹ thuật số không được hoàn tiền và đề cập đúng ngoại lệ cho license key, subscription.",variant_dense_rerank
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. [1],Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,The answer exactly matches the retrieved context: the account is locked after 5 consecutive failed login attempts.,5,The answer directly states the number of failed login attempts before the account is locked.,5,Retrieved: 1/1 expected sources,5,"The answer exactly matches the expected answer, including the key detail that the account is locked after 5 consecutive failed login attempts.",variant_dense_rerank
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Trong sự cố P1, escalation diễn ra tự động nếu ticket không có phản hồi trong 10 phút, sẽ escalate lên Senior Engineer [2]. Nếu cần hỗ trợ thêm trong quá trình xử lý, engineer phải escalate ngay [3]. Nếu cần thay đổi quyền hệ thống để fix incident, on-call IT Admin có thể cấp quyền tạm thời tối đa 24 giờ sau khi Tech Lead phê duyệt bằng lời, và phải ghi log vào Security Audit [1].",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,"All claims are directly supported by the retrieved context: P1 auto-escalates after 10 minutes without response, engineers should escalate immediately if more help is needed, and temporary system access can be granted for up to 24 hours with verbal Tech Lead approval and logged in Security Audit.",4,"Trả lời đúng trọng tâm về cách escalation trong sự cố P1, nhưng có thêm chi tiết về quyền hệ thống và audit không trực tiếp liên quan đến câu hỏi.",5,Retrieved: 1/1 expected sources,5,Câu trả lời nêu đúng ý chính: ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,variant_dense_rerank
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,Đó là tài liệu **it/access-control-sop.md**; ghi chú cho biết tài liệu này trước đây có tên **“Approval Matrix for System Access”** [1].,Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,4,"The answer correctly states that the document was previously titled “Approval Matrix for System Access,” which is directly supported by the context. However, the specific filename “it/access-control-sop.md” is not mentioned in the retrieved context, so that part is unsupported.",5,Trả lời trực tiếp câu hỏi bằng cách nêu rõ tài liệu tương ứng là it/access-control-sop.md và giải thích tên cũ của nó.,5,Retrieved: 1/1 expected sources,5,"The answer correctly identifies the current document name/path and notes its former name as 'Approval Matrix for System Access', covering all key points.",variant_dense_rerank
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,Nhân viên sau probation period được làm remote tối đa 2 ngày/tuần [1].,"Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,The answer exactly matches the retrieved context: employees after probation can work remote up to 2 days per week.,5,The answer directly states the maximum number of remote days per week and is relevant to the question.,5,Retrieved: 1/1 expected sources,4,"Answer correctly states the maximum remote days per week is 2 and mentions it applies after probation period, but omits the condition that Team Lead approval is required.",variant_dense_rerank
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,Tôi không biết. Trong ngữ cảnh được cung cấp không có thông tin về lỗi **ERR-403-AUTH** hay cách xử lý lỗi này.,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",5,"Câu trả lời chỉ nói rằng ngữ cảnh không có thông tin về ERR-403-AUTH, điều này phù hợp với ngữ cảnh được cung cấp vì không có đề cập nào đến lỗi đó.",5,The answer directly addresses the question by stating that there is no provided context about ERR-403-AUTH and its handling.,,No expected sources,5,"Answer matches the expected response by stating there is no information available about ERR-403-AUTH in the provided context and implying it may be authentication-related, though it does not explicitly mention contacting IT Helpdesk.",variant_dense_rerank
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?",Tôi không biết. Context chỉ nêu quy trình hoàn tiền chung và không đề cập trường hợp hoàn tiền khẩn cấp cho khách hàng VIP [1].,"Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",1,"Câu trả lời bịa thêm chi tiết về ""trường hợp hoàn tiền khẩn cấp cho khách hàng VIP"" không có trong ngữ cảnh; ngữ cảnh chỉ nói về quy trình hoàn tiền và nghỉ phép.",4,"Trả lời đúng là không có thông tin về quy trình hoàn tiền khẩn cấp cho khách hàng VIP, nhưng không trực tiếp giải đáp liệu quy trình có khác hay không.",5,Retrieved: 1/1 expected sources,4,"Answer correctly notes that the context does not mention a special VIP emergency refund process and implies the standard process applies, but it does not explicitly state the 3-5 business day timeframe from the expected answer.",variant_dense_rerank
